longitude,latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,frost,targetGBIF.counts,species_occ
38.69618056,63.57291667,2.44097209,7.658611298,19.56175041,1029.4552,22.11333275,-17.37666702,39.49000168,9.133889198,-4.377222061,15.02666664,-10.11388874,644.710022,97,18.93666649,42.87097931,241.0233307,90.84666443,210.7400055,127.4466629,74.83666992,1,1
108.5989583,63.57291667,-8.936666489,11.55555534,18.65706635,1822.571045,22.48333359,-39.65000153,62.13333511,11.98222256,-27.38277817,13.2672224,-31.29111099,338.5133362,71.54333496,7.210000038,67.54747009,163.0233307,30.73666573,159.1633301,37.45000076,116.8600006,1,1
121.5809028,63.57291667,-7.914305687,9.771389008,15.06200409,2043.607788,24.68333435,-40.29333496,64.97666931,11.36555576,-24.03555489,16.35611153,-33.46500015,293.2666626,57.94666672,6.026666641,65.1936264,133.9233398,27.77666664,127.0299988,38.38000107,105.3733368,1,1
131.5670139,63.57291667,-12.22166634,11.3172226,15.9765625,2302.699219,23.62333298,-47.27000046,70.89333344,12.87666702,-31.23944473,14.50444412,-41.2527771,289.3599854,71.80666351,3.379999876,87.58387756,163.7866669,17.39999962,153.5200043,23.26333427,116.0566635,1,1
134.0635417,63.57291667,-15.04055595,11.82111073,16.70509338,2291.407959,20.84666634,-49.95666504,70.8033371,10.2705555,-40.33555603,11.51388931,-43.85666656,307.0166626,77.83333588,2.529999971,93.05399323,180.8366699,13.35666656,172.7266693,14.83666706,129.1600037,1,1
137.059375,63.57291667,-14.96763897,11.62472248,17.01266098,2210.194824,19.72333336,-48.64666748,68.37000275,9.67666626,-39.68444443,10.7383337,-42.63777924,353.0733337,88.49333191,2.170000076,96.64234924,211.656662,10.88333321,204.2766724,12.26000023,130.6900024,1,1
14.72951389,63.07430556,3.091944456,8.33944416,26.04892159,813.3345337,20.00666618,-12.23666668,32.24333191,12.26555538,-3.414444447,13.20388889,-6.629444599,511.0899963,94.11333466,16.16333389,54.12247086,219.2433319,66.09333038,211.2333374,86.17333221,78.55999756,1,1
23.71701389,63.07430556,3.699166775,9.221111298,25.39422417,893.4978027,22.57333374,-14.17000008,36.74333191,12.34166622,-3.628888845,14.72222233,-7.071111202,529.5066528,88.86333466,14.2966671,51.66604996,212.4133301,66.79333496,194.3366699,90.13999939,74.33666992,1,1
25.71423611,63.07430556,3.793750048,8.439167023,23.04600334,928.7575073,22.69333267,-14.36666679,37.06000137,12.62888908,-3.512777805,15.30166626,-7.388888836,547.75,89.30999756,15.27999973,49.25215912,215.1699982,72.59999847,200.1666718,95.96666718,71.95999908,1,1
27.21215278,63.07430556,4.086527824,7.263611317,20.12873077,955.4116211,22.40333366,-14.1133337,36.51666641,12.99888897,-3.684999943,15.9422226,-7.409999847,550.8499756,88.50333405,15.8633337,48.01147461,216.2799988,73.26999664,200.9866638,95.91999817,66.90000153,1,1
89.12604167,63.07430556,-4.296805382,9.066944122,16.64453125,1576.201904,23.26666641,-31.4533329,54.72000122,6.61944437,-17.41611099,15.25666714,-23.5494442,609.5300293,96.50333405,20.09000015,45.67271042,232.5800018,84.62666321,200.5033417,105.3566666,100.0100021,1,1
92.121875,63.07430556,-6.291388988,9.666110992,17.10011864,1634.374023,22.2266674,-34.54999924,56.77666855,7.933888912,-21.46722221,13.74444485,-26.42277718,592.4933472,91.76333618,19.80666733,45.06921768,227.1999969,78.78666687,203.6966705,97.03666687,106.3166656,1,1
107.6003472,63.07430556,-7.39277792,11.6744442,18.81773567,1817.622925,24.03999901,-38.22000122,62.25999832,13.36888885,-24.50666618,14.68500042,-29.80500031,332.6300049,67.6866684,7.519999981,63.99159241,154.2533264,32.63333511,149.1433258,40.71333313,110.8433304,1,1
118.5850694,63.07430556,-7.580833435,10.76888847,17.0189209,1945.4646,24.28333282,-39.13666534,63.41999817,14.2588892,-22.42222214,15.63611126,-31.75055504,293.7333374,60.26666641,6.21999979,66.95144653,139.4366608,27.48333359,135.4700012,36.86333466,107.4766693,1,1
